Stylianus,"Pillar",m
Summanus,"Nighttime",m
Sylva,"From the forest",f
Tanja,"Father",f
Tasia,"Resurrection",f
Terminus,"Boundary",m
Terra,"Earth",f
Tertius,"Third",m
Thaddaeus,"Courageous, big-hearted",m
Thalia,"Flourishing",f
Thecla,"Glory of god",f
Themistocles,"Glorious law",m
Theocles,"Glory of god",m
Theocritus,"God-judge",m
Theodosius,"God-giving",m
Theophilus,"Friend of god",m
Theophylact,"God-guard",m
Theophylactus,"God-guard",m
Theudoricus,"First of the people; king of nations",m
Thorbernus,"Thor's bear",m
Thyra,"Thor's warrior",f
Titanius,"Of the Titans",m
Titus,"Fire; to burn",m
Tycho,"Hitting the mark",m
Ulricus,"Prosperity and power",m
Uranus,"The heavens",m
Ursa,"Little she-bear",f
Ursinus,"Bear",m
Ursula,"She-bear",f
Ursus,"Bear",m
Valentina,"Healthy, strong",f
Valeria,"Healthy, strong",f
Valerian,"Strong; of stout health",m
Varius,"Versatile",m
Velius,"Concealed",m
Vena,"Vein",f
Venus,"Love",f
Veronica,"Bringer of victory",f
Vesper,"Evening",m
Vesperus,"Evening",m
Victor,"Conqueror",m
Viggo,"Lightning",m
Vinicius,"Vine",m
Viviana,"Alive; animated",f
Vortigernus,"High lord",m
Vulcan,"Flash",m
Xanthia,"Blonde, yellow",f
Zacchaeus,"Clean innocent",m
Zeno,"Of Zeus",m
Zephyrinus,"West wind",m
Ægidius,"Kid; young goat",m
Ælia,"Solar",m
Ælianus,"Sun",m
Æmilia,"Rival",f
Æmilianus,"Rival",m
Æolus,"Sparkling, quick-moving",m
Æschylus,"Shame",m
Æsop,"Hump-backed",m
Ætius,"Eagle",m
